SSC_CODE_2016,M_0_4_yrs_Need_for_assistance,M_0_4_No_need_for_assistance,M_0_4_Need_for_assistance_ns,M_0_4_yrs_Tot,M_5_14_Need_for_assistance,M_5_14_No_need_for_assistance,M_5_14_Need_for_assistance_ns,M_5_14_yrs_Tot,M_15_19_Need_for_assistance,M_15_19_No_need_for_assistnce,M_15_19_Need_for_assistnce_ns,M_15_19_yrs_Tot,M_20_24_Need_for_assistance,M_20_24_No_need_for_assistnce,M_20_24_Need_for_assistnce_ns,M_20_24_yrs_Tot,M_25_34_Need_for_assistance,M_25_34_No_need_for_assistnce,M_25_34_Need_for_assistnce_ns,M_25_34_yrs_Tot,M_35_44_Need_for_assistance,M_35_44_No_need_for_assistnce,M_35_44_Need_for_assistnce_ns,M_35_44_yrs_Tot,M_45_54_Need_for_assistance,M_45_54_No_need_for_assistnce,M_45_54_Need_for_assistnce_ns,M_45_54_yrs_Tot,M_55_64_Need_for_assistance,M_55_64_No_need_for_assistnce,M_55_64_Need_for_assistnce_ns,M_55_64_yrs_Tot,M_65_74_Need_for_assistance,M_65_74_No_need_for_assistnce,M_65_74_Need_for_assistnce_ns,M_65_74_yrs_Tot,M_75_84_Need_for_assistance,M_75_84_No_need_for_assistnce,M_75_84_Need_for_assistnce_ns,M_75_84_yrs_Tot,M_85_over_Need_for_assistance,M_85_ov_No_need_for_assistnce,M_85_ov_Need_for_assistnce_ns,M_85_yrs_over_Tot,M_Tot_Need_for_assistance,M_Tot_No_need_for_assistance,M_Tot_Need_for_assistance_ns,M_Tot_Tot,F_0_4_yrs_Need_for_assistance,F_0_4_No_need_for_assistance,F_0_4_Need_for_assistance_ns,F_0_4_yrs_Tot,F_5_14_Need_for_assistance,F_5_14_No_need_for_assistance,F_5_14_Need_for_assistance_ns,F_5_14_yrs_Tot,F_15_19_Need_for_assistance,F_15_19_No_need_for_assistnce,F_15_19_Need_for_assistnce_ns,F_15_19_yrs_Tot,F_20_24_Need_for_assistance,F_20_24_No_need_for_assistnce,F_20_24_Need_for_assistnce_ns,F_20_24_yrs_Tot,F_25_34_Need_for_assistance,F_25_34_No_need_for_assistnce,F_25_34_Need_for_assistnce_ns,F_25_34_yrs_Tot,F_35_44_Need_for_assistance,F_35_44_No_need_for_assistnce,F_35_44_Need_for_assistnce_ns,F_35_44_yrs_Tot,F_45_54_Need_for_assistance,F_45_54_No_need_for_assistnce,F_45_54_Need_for_assistnce_ns,F_45_54_yrs_Tot,F_55_64_Need_for_assistance,F_55_64_No_need_for_assistnce,F_55_64_Need_for_assistnce_ns,F_55_64_yrs_Tot,F_65_74_Need_for_assistance,F_65_74_No_need_for_assistnce,F_65_74_Need_for_assistnce_ns,F_65_74_yrs_Tot,F_75_84_Need_for_assistance,F_75_84_No_need_for_assistnce,F_75_84_Need_for_assistnce_ns,F_75_84_yrs_Tot,F_85_over_Need_for_assistance,F_85_ov_No_need_for_assistnce,F_85_ov_Need_for_assistnce_ns,F_85_yrs_over_Tot,F_Tot_Need_for_assistance,F_Tot_No_need_for_assistance,F_Tot_Need_for_assistance_ns,F_Tot_Tot,P_0_4_yrs_Need_for_assistance,P_0_4_No_need_for_assistance,P_0_4_Need_for_assistance_ns,P_0_4_yrs_Tot,P_5_14_Need_for_assistance,P_5_14_No_need_for_assistance,P_5_14_Need_for_assistance_ns,P_5_14_yrs_Tot,P_15_19_Need_for_assistance,P_15_19_No_need_for_assistnce,P_15_19_Need_for_assistnce_ns,P_15_19_yrs_Tot,P_20_24_Need_for_assistance,P_20_24_No_need_for_assistnce,P_20_24_Need_for_assistnce_ns,P_20_24_yrs_Tot,P_25_34_Need_for_assistance,P_25_34_No_need_for_assistnce,P_25_34_Need_for_assistnce_ns,P_25_34_yrs_Tot,P_35_44_Need_for_assistance,P_35_44_No_need_for_assistnce,P_35_44_Need_for_assistnce_ns,P_35_44_yrs_Tot,P_45_54_Need_for_assistance,P_45_54_No_need_for_assistnce,P_45_54_Need_for_assistnce_ns,P_45_54_yrs_Tot,P_55_64_Need_for_assistance,P_55_64_No_need_for_assistnce,P_55_64_Need_for_assistnce_ns,P_55_64_yrs_Tot,P_65_74_Need_for_assistance,P_65_74_No_need_for_assistnce,P_65_74_Need_for_assistnce_ns,P_65_74_yrs_Tot,P_75_84_Need_for_assistance,P_75_84_No_need_for_assistnce,P_75_84_Need_for_assistnce_ns,P_75_84_yrs_Tot,P_85_over_Need_for_assistance,P_85_ov_No_need_for_assistnce,P_85_ov_Need_for_assistnce_ns,P_85_yrs_over_Tot,P_Tot_Need_for_assistance,P_Tot_No_need_for_assistance,P_Tot_Need_for_assistance_ns,P_Tot_Tot
SSC70032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3
SSC70033,0,7,0,7,0,26,0,31,0,13,0,13,0,9,0,9,0,16,4,21,0,12,0,12,0,6,0,10,0,4,0,4,0,0,0,3,0,0,0,0,0,0,0,0,4,93,4,104,0,3,0,3,0,19,0,19,0,4,0,11,0,3,0,3,3,16,0,20,0,14,0,15,0,11,0,14,0,7,0,5,0,3,0,3,0,3,0,3,0,0,0,0,6,84,0,94,0,15,0,15,0,49,0,44,0,20,0,17,0,12,0,12,3,34,3,35,0,27,0,25,0,22,0,21,0,6,0,10,0,3,0,7,0,3,0,3,0,0,0,3,8,181,5,190
SSC70034,0,4,0,4,0,0,0,0,0,3,0,3,0,3,3,6,0,7,4,15,0,4,0,7,0,0,0,5,0,10,7,10,0,0,0,0,0,0,0,3,0,0,0,0,4,39,8,55,0,3,0,3,0,0,0,3,0,4,0,3,0,0,0,0,0,9,0,8,0,3,0,3,0,0,5,3,0,6,0,4,0,3,0,3,0,0,0,0,0,0,0,0,0,28,11,32,0,10,0,10,0,3,0,3,0,6,0,6,0,5,3,9,0,15,3,19,0,9,0,14,0,3,4,10,0,15,7,18,0,4,0,4,0,0,0,3,0,0,0,0,4,65,23,86
SSC70035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70036,0,4,0,3,0,3,0,8,0,0,0,0,0,0,0,0,0,3,0,3,0,5,0,5,0,4,0,7,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,21,3,26,0,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,7,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,21,0,8,4,10,0,4,0,7,0,3,0,3,0,0,0,0,0,4,0,3,0,7,0,7,0,4,0,5,0,0,0,3,0,3,0,3,0,0,0,0,0,0,0,0,0,36,10,41
SSC70037,0,37,17,53,0,68,9,75,3,39,5,46,0,25,3,32,0,64,4,71,0,53,5,54,0,44,0,45,0,32,7,40,3,18,0,18,0,12,0,9,0,0,0,0,9,390,55,455,0,21,23,45,0,69,9,80,0,27,0,36,0,38,6,37,0,60,0,59,0,55,4,59,0,47,4,52,0,26,0,31,4,12,0,15,4,0,0,3,0,0,0,0,10,358,52,423,0,60,43,99,0,142,17,156,4,66,10,79,0,61,6,70,0,123,3,132,0,108,10,113,4,89,6,99,5,57,8,71,8,31,3,40,4,12,0,16,0,0,0,0,21,746,102,871
SSC70038,0,0,0,0,0,3,0,5,0,0,7,7,0,0,9,9,0,4,0,9,0,0,3,4,0,4,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,20,36,0,3,0,3,0,0,0,0,0,6,9,13,0,0,3,8,0,3,7,7,0,0,0,3,0,3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,20,35,0,3,0,3,0,3,0,5,0,6,9,11,0,0,11,14,0,8,8,14,0,7,0,6,0,12,5,15,0,3,0,3,0,0,0,0,0,3,0,3,0,0,0,0,0,37,34,73
SSC70039,3,108,20,131,5,186,19,216,0,94,4,103,0,84,19,102,4,202,33,244,4,166,24,194,12,180,29,219,5,172,24,205,6,75,15,100,0,22,6,32,3,5,0,11,48,1311,197,1554,0,99,7,108,4,170,24,199,4,97,12,108,0,78,8,94,7,230,35,265,4,191,30,224,10,218,23,251,12,176,23,215,5,75,12,93,5,22,3,27,7,3,7,12,54,1355,193,1600,3,203,32,235,11,360,41,415,5,190,18,213,0,162,25,193,6,436,66,511,10,354,54,422,19,396,51,469,16,356,49,421,13,152,33,193,7,43,8,60,10,5,3,20,106,2665,385,3149
SSC70040,0,26,0,28,4,57,5,60,3,33,7,36,0,69,33,101,3,134,30,164,0,71,12,83,0,53,3,57,0,61,7,71,3,37,8,43,3,10,0,13,0,0,0,3,17,545,108,671,0,36,0,33,0,54,7,57,0,32,4,41,0,33,12,48,0,133,16,151,0,67,3,71,0,57,3,62,7,75,6,82,3,29,9,37,5,11,3,20,3,0,0,3,14,524,61,605,0,61,4,63,4,107,9,122,5,67,7,76,0,104,41,151,3,258,50,317,0,135,15,152,0,105,10,115,4,135,15,155,3,69,14,84,6,22,3,32,3,0,0,3,31,1075,167,1268
SSC70041,0,0,0,0,0,3,0,3,0,4,0,4,0,6,0,5,0,6,3,12,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,27,3,32,0,3,0,3,0,0,0,0,0,7,0,7,0,10,0,10,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,22,0,3,0,3,0,10,0,10,0,5,0,5,0,14,0,14,0,9,3,15,0,0,0,0,0,3,0,3,0,0,0,6,0,3,0,3,0,0,0,0,0,0,0,0,0,50,3,55
SSC70042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70043,0,18,0,18,0,27,0,27,0,7,0,8,0,6,0,9,0,37,3,41,0,14,0,18,0,16,4,17,0,3,0,3,0,0,0,0,0,0,0,3,0,0,0,0,6,136,9,151,0,15,0,15,0,18,0,18,0,7,0,7,0,7,0,7,0,25,0,30,0,11,0,11,0,12,3,19,0,6,0,11,0,0,0,0,0,3,0,3,0,0,0,0,0,118,4,129,0,35,0,35,0,48,0,48,0,18,0,16,0,18,0,14,0,66,3,68,0,27,0,29,3,30,6,38,0,14,0,16,0,0,0,3,0,3,0,3,0,0,0,0,5,259,13,280
SSC70044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,7,0,7,0,4,0,4,0,0,0,0,0,0,0,0,0,7,5,16,0,0,0,0,0,5,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,4,5,0,0,0,0,0,0,0,0,0,14,7,20,0,0,0,0,0,5,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,6,0,4,0,3,0,3,0,3,0,5,3,5,0,0,0,0,0,0,0,0,0,19,16,35
SSC70045,0,9,0,9,0,12,0,12,0,5,3,8,0,10,44,49,0,10,0,10,0,8,0,8,0,14,0,10,0,7,0,10,0,8,0,8,0,0,0,0,0,0,0,0,3,79,48,128,0,8,0,8,0,8,0,8,0,0,19,18,0,4,25,29,0,16,0,16,0,14,0,14,0,10,0,10,0,12,0,12,0,3,0,4,0,0,0,0,0,0,0,0,3,78,41,120,0,15,0,15,0,21,0,21,0,13,19,30,0,15,69,78,0,25,0,25,0,22,0,22,0,18,3,25,0,20,0,15,0,6,0,8,0,3,0,4,0,0,0,0,5,158,87,250
SSC70046,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7,4,9,0,11,0,8,4,11,3,14,0,15,0,0,0,0,0,0,0,0,6,39,5,53,0,0,0,0,0,3,0,3,0,7,0,7,0,0,0,3,0,4,0,4,0,0,0,7,0,10,0,10,0,6,3,8,0,8,0,8,0,0,0,0,0,0,0,0,0,36,3,42,0,0,0,0,0,11,0,13,0,6,0,6,0,0,0,3,0,4,0,4,0,10,0,13,4,17,0,17,0,14,6,25,4,19,0,24,0,0,0,0,0,0,0,0,7,78,11,96
SSC70047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70048,0,5,0,5,0,4,0,4,0,0,0,0,0,11,0,11,0,3,0,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,25,0,3,0,3,0,3,0,3,0,3,0,3,0,5,0,5,0,0,0,0,0,4,0,3,0,4,0,4,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,28,0,4,0,4,0,10,0,10,0,0,0,0,0,12,0,12,0,10,0,10,0,6,0,7,0,3,0,3,0,3,0,3,0,3,0,3,0,0,0,0,0,0,0,0,0,55,0,54
SSC70049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70050,0,0,4,4,0,24,0,24,0,7,0,7,0,8,0,10,0,18,0,20,0,9,0,9,0,12,14,22,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,83,15,102,0,8,0,12,0,21,3,19,0,4,0,4,0,6,0,6,0,19,0,14,0,12,0,12,0,5,0,5,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,79,4,83,0,13,4,16,0,46,3,45,0,13,0,13,0,13,0,16,0,31,3,32,0,18,0,18,0,20,14,28,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,163,19,184
SSC70051,0,0,0,0,0,3,0,3,0,13,0,8,0,45,17,62,0,58,13,70,0,20,3,22,0,9,0,10,0,4,0,4,0,0,3,3,0,0,0,0,0,0,0,0,3,142,46,191,0,6,0,7,0,4,0,4,0,10,3,11,0,27,13,40,0,37,10,45,0,16,6,18,0,3,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,30,139,0,8,0,7,0,10,0,10,0,16,7,21,0,69,32,104,0,93,23,119,0,36,10,45,0,10,3,15,0,5,0,4,0,3,3,3,0,0,0,0,0,0,0,0,3,252,76,331
SSC70052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
SSC70053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,7,8,8,0,3,0,3,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,8,0,3,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,4,7,0,0,3,3,0,0,0,0,0,0,0,0,0,7,11,18
SSC70055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70056,0,9,0,9,0,15,0,16,0,5,0,5,0,12,0,13,0,31,8,38,0,18,0,18,0,17,3,22,0,27,3,28,0,7,0,7,0,0,0,0,0,0,0,0,3,134,16,147,0,3,0,3,0,9,4,6,0,3,0,3,0,4,0,4,0,31,4,33,0,7,0,6,0,16,0,17,0,10,3,17,0,4,0,4,0,0,0,0,0,0,0,0,0,88,11,104,0,7,0,7,0,22,4,25,0,8,0,7,0,17,0,16,0,65,6,69,0,23,3,24,0,30,3,41,0,33,4,45,0,9,0,9,0,0,0,0,0,0,0,0,3,215,31,255
SSC70057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,10
SSC70058,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,15,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,14,0,0,3,3,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,15,33
SSC70059,0,87,26,116,10,99,11,125,0,59,3,63,0,72,13,83,0,312,66,377,4,204,25,240,6,150,18,174,20,125,27,177,15,79,18,115,10,30,3,43,3,6,0,10,73,1219,224,1518,0,98,22,120,3,111,16,123,0,61,9,69,0,89,13,104,0,324,69,393,3,179,20,208,12,159,25,191,14,128,17,160,14,64,7,91,20,34,10,58,14,5,0,17,76,1250,209,1534,0,183,51,234,12,209,26,250,0,114,10,132,0,158,25,187,0,637,129,766,12,389,43,443,14,306,48,367,35,252,45,334,34,143,25,206,28,59,13,105,12,9,3,28,149,2472,430,3050
SSC70060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4
SSC70061,0,9,3,5,0,34,3,35,0,10,0,11,0,6,0,11,0,11,0,15,0,24,3,26,0,29,3,38,0,23,4,31,0,17,3,21,0,11,0,11,0,0,0,0,9,174,28,208,0,13,0,13,0,18,3,18,0,10,0,10,0,9,3,8,0,19,0,20,0,22,0,26,0,31,7,35,0,21,5,29,0,11,0,17,0,3,0,9,0,0,0,5,0,161,23,194,0,15,3,22,0,52,6,53,0,22,0,26,0,13,5,21,0,34,0,41,0,44,5,53,0,60,12,71,0,47,12,59,0,32,11,42,0,16,3,16,3,0,0,3,11,338,53,400
SSC70062,0,20,4,19,0,24,7,35,0,6,0,7,0,39,5,46,3,45,15,62,0,26,4,28,0,18,3,21,0,24,9,30,0,13,6,20,0,4,0,5,0,0,0,0,8,214,55,276,0,14,3,21,0,14,7,22,0,21,11,27,0,33,11,43,0,51,7,63,0,23,4,29,0,22,3,28,0,23,3,25,0,13,0,18,0,4,0,4,0,0,0,0,8,218,46,275,0,34,8,43,0,42,8,54,0,21,9,30,0,75,13,88,6,98,25,125,0,43,11,57,0,46,5,51,0,40,9,53,3,23,8,36,0,8,0,9,0,0,0,0,13,431,104,548
SSC70063,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,10,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,14,5,20
SSC70064,0,4,0,8,0,4,3,7,0,0,0,0,0,0,0,0,0,15,6,17,0,4,0,4,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,9,39,0,5,0,4,0,3,0,3,0,0,0,0,0,7,0,7,0,7,4,13,0,3,0,3,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,8,36,0,10,3,13,0,8,3,9,0,0,0,0,0,4,0,4,0,24,8,30,0,9,0,9,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,13,78
SSC70065,0,25,9,36,0,98,32,136,0,23,6,24,0,22,0,28,0,53,10,60,0,53,14,71,5,77,16,92,3,77,17,97,3,47,10,60,0,18,0,21,0,3,0,3,19,498,106,623,0,39,4,42,0,83,14,94,0,35,3,36,0,19,4,24,0,54,10,64,0,69,18,88,3,74,22,100,3,66,15,76,3,38,6,44,3,14,0,18,0,0,0,0,18,487,90,596,4,63,11,84,3,183,46,228,3,51,12,68,0,44,3,47,0,107,13,125,0,126,25,156,8,152,37,195,7,140,30,179,8,80,19,101,0,32,0,35,0,3,0,7,32,983,201,1223
SSC70066,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,4,6,0,3,0,3,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,12
SSC70067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,4,0,5,0,0,0,0,0,0,0,0,0,11,4,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,3,0,7,0,3,0,0,0,0,0,0,0,0,3,11,4,15
SSC70068,0,3,3,5,0,0,0,0,0,4,0,4,0,12,0,12,0,3,0,3,0,3,0,4,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,3,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,9,0,3,3,4,0,0,0,0,0,5,0,5,0,14,0,12,0,7,0,12,0,3,0,4,0,3,0,6,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,35,7,45
SSC70069,0,17,9,28,0,28,3,35,0,11,0,11,0,7,0,5,3,15,0,20,0,12,0,13,0,11,3,10,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,105,21,129,0,10,10,20,0,19,3,22,0,6,0,11,0,9,0,9,0,21,0,23,0,13,0,9,0,11,0,14,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,91,18,110,0,24,24,47,0,51,3,52,0,21,0,16,0,12,0,13,3,35,3,39,0,22,3,24,0,23,3,31,0,4,3,6,4,0,0,3,0,0,0,0,0,0,0,0,5,193,44,242
SSC70070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
