SSC_CODE_2016,M_15_19_yr_Volunteer,M_15_19_yr_N_a_volunteer,M_15_19_yr_Voluntary_work_ns,M_15_19_yr_Tot,M_20_24_yr_Volunteer,M_20_24_yr_N_a_volunteer,M_20_24_yr_Voluntary_work_ns,M_20_24_yr_Tot,M_25_34_yr_Volunteer,M_25_34_yr_N_a_volunteer,M_25_34_yr_Voluntary_work_ns,M_25_34_yr_Tot,M_35_44_yr_Volunteer,M_35_44_yr_N_a_volunteer,M_35_44_yr_Voluntary_work_ns,M_35_44_yr_Tot,M_45_54_yr_Volunteer,M_45_54_yr_N_a_volunteer,M_45_54_yr_Voluntary_work_ns,M_45_54_yr_Tot,M_55_64_yr_Volunteer,M_55_64_yr_N_a_volunteer,M_55_64_yr_Voluntary_work_ns,M_55_64_yr_Tot,M_65_74_yr_Volunteer,M_65_74_yr_N_a_volunteer,M_65_74_yr_Voluntary_work_ns,M_65_74_yr_Tot,M_75_84_yr_Volunteer,M_75_84_yr_N_a_volunteer,M_75_84_yr_Voluntary_work_ns,M_75_84_yr_Tot,M_85ov_Volunteer,M_85ov_N_a_volunteer,M_85_ov_Voluntary_work_ns,M_85ov_Tot,M_Tot_Volunteer,M_Tot_N_a_volunteer,M_Tot_Voluntary_work_ns,M_Tot_Tot,F_15_19_yr_Volunteer,F_15_19_yr_N_a_volunteer,F_15_19_yr_Voluntary_work_ns,F_15_19_yr_Tot,F_20_24_yr_Volunteer,F_20_24_yr_N_a_volunteer,F_20_24_yr_Voluntary_work_ns,F_20_24_yr_Tot,F_25_34_yr_Volunteer,F_25_34_yr_N_a_volunteer,F_25_34_yr_Voluntary_work_ns,F_25_34_yr_Tot,F_35_44_yr_Volunteer,F_35_44_yr_N_a_volunteer,F_35_44_yr_Voluntary_work_ns,F_35_44_yr_Tot,F_45_54_yr_Volunteer,F_45_54_yr_N_a_volunteer,F_45_54_yr_Voluntary_work_ns,F_45_54_yr_Tot,F_55_64_yr_Volunteer,F_55_64_yr_N_a_volunteer,F_55_64_yr_Voluntary_work_ns,F_55_64_yr_Tot,F_65_74_yr_Volunteer,F_65_74_yr_N_a_volunteer,F_65_74_yr_Voluntary_work_ns,F_65_74_yr_Tot,F_75_84_yr_Volunteer,F_75_84_yr_N_a_volunteer,F_75_84_yr_Voluntary_work_ns,F_75_84_yr_Tot,F_85ov_Volunteer,F_85ov_N_a_volunteer,F_85_ov_Voluntary_work_ns,F_85ov_Tot,F_Tot_Volunteer,F_Tot_N_a_volunteer,F_Tot_Voluntary_work_ns,F_Tot_Tot,P_15_19_yr_Volunteer,P_15_19_yr_N_a_volunteer,P_15_19_yr_Voluntary_work_ns,P_15_19_yr_Tot,P_20_24_yr_Volunteer,P_20_24_yr_N_a_volunteer,P_20_24_yr_Voluntary_work_ns,P_20_24_yr_Tot,P_25_34_yr_Volunteer,P_25_34_yr_N_a_volunteer,P_25_34_yr_Voluntary_work_ns,P_25_34_yr_Tot,P_35_44_yr_Volunteer,P_35_44_yr_N_a_volunteer,P_35_44_yr_Voluntary_work_ns,P_35_44_yr_Tot,P_45_54_yr_Volunteer,P_45_54_yr_N_a_volunteer,P_45_54_yr_Voluntary_work_ns,P_45_54_yr_Tot,P_55_64_yr_Volunteer,P_55_64_yr_N_a_volunteer,P_55_64_yr_Voluntary_work_ns,P_55_64_yr_Tot,P_65_74_yr_Volunteer,P_65_74_yr_N_a_volunteer,P_65_74_yr_Voluntary_work_ns,P_65_74_yr_Tot,P_75_84_yr_Volunteer,P_75_84_yr_N_a_volunteer,P_75_84_yr_Voluntary_work_ns,P_75_84_yr_Tot,P_85ov_Volunteer,P_85ov_N_a_volunteer,P_85_ov_Voluntary_work_ns,P_85ov_Tot,P_Tot_Volunteer,P_Tot_N_a_volunteer,P_Tot_Voluntary_work_ns,P_Tot_Tot
SSC70042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70043,0,8,0,8,0,9,0,9,3,35,0,41,0,17,0,18,0,12,4,17,0,0,0,3,0,0,0,0,0,3,0,3,0,0,0,0,3,94,7,106,0,7,0,7,0,7,0,7,0,26,3,30,0,11,0,11,0,14,3,19,0,6,0,11,0,0,0,0,0,3,0,3,0,0,0,0,0,83,5,86,0,16,0,16,0,14,0,14,4,61,4,68,0,27,0,29,0,28,6,38,0,11,0,16,0,3,0,3,0,3,0,3,0,0,0,0,4,175,11,195
SSC70044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,4,0,7,0,0,0,4,0,0,0,0,0,0,0,0,3,6,5,16,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,4,5,0,0,0,0,0,0,0,0,0,4,6,11,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,6,0,3,0,3,0,3,0,3,0,3,3,5,0,0,0,0,0,0,0,0,4,17,12,30
SSC70045,0,11,0,8,0,6,44,49,3,10,0,10,4,7,0,8,0,14,0,10,0,5,0,10,0,8,0,8,0,0,0,0,0,0,0,0,5,54,51,110,0,0,19,18,0,4,25,29,0,14,0,16,0,7,0,14,0,10,0,10,0,12,0,12,0,3,0,4,0,0,0,0,0,0,0,0,3,62,41,102,0,10,14,30,0,11,69,78,4,21,0,25,6,17,0,22,0,18,3,25,0,13,0,15,0,6,0,8,0,4,0,4,0,0,0,0,10,112,89,212
SSC70046,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,7,3,5,0,11,0,11,4,11,5,9,0,15,0,0,0,0,0,0,0,0,12,26,8,47,3,3,0,7,0,0,0,3,0,4,0,4,0,0,0,7,3,3,0,10,3,4,3,8,0,5,0,8,0,0,0,0,0,0,0,0,10,20,5,42,3,3,0,6,0,0,0,3,0,4,0,4,3,4,0,13,10,9,0,17,0,15,4,25,4,10,0,24,0,0,0,0,0,0,0,0,28,47,12,85
SSC70047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70048,0,0,0,0,3,5,0,11,0,3,0,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,0,23,0,3,0,3,3,3,0,5,0,3,0,0,0,4,0,3,0,4,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,15,0,21,0,3,0,0,8,7,0,12,3,4,0,10,0,6,0,7,0,3,0,3,0,4,0,3,0,3,0,3,0,0,0,0,0,0,0,0,14,25,0,40
SSC70049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70050,0,8,0,7,0,5,4,10,3,6,3,20,0,13,0,9,0,3,15,22,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,12,39,19,73,0,8,0,4,0,7,0,6,4,11,3,14,0,9,0,12,0,3,0,5,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,11,37,10,55,0,11,0,13,3,13,4,16,8,21,9,32,3,17,0,18,3,13,16,28,4,4,0,7,0,3,0,0,0,0,0,0,0,0,0,0,24,79,30,127
SSC70051,0,9,0,8,7,34,17,62,9,49,17,70,3,12,4,22,3,8,0,10,0,3,0,4,0,0,3,3,0,0,0,0,0,0,0,0,24,113,47,187,3,7,3,11,4,24,13,40,10,33,11,45,3,12,6,18,0,5,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,79,27,127,3,11,7,21,15,60,32,104,15,78,24,119,7,29,7,45,3,13,3,15,3,3,0,4,0,3,3,3,0,0,0,0,0,0,0,0,45,190,79,318
SSC70052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
SSC70053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,5,8,8,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,11,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,4,7,0,0,3,3,0,0,0,0,0,0,0,0,3,9,13,16
SSC70055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70056,0,0,0,5,3,10,0,13,4,28,8,38,0,18,0,18,7,10,3,22,4,21,3,28,3,4,0,7,0,0,0,0,0,0,0,0,24,89,16,130,0,3,0,3,0,4,0,4,6,24,4,33,0,5,0,6,7,12,3,17,7,4,3,17,0,5,0,4,0,0,0,0,0,0,0,0,18,65,9,88,0,8,3,7,3,11,0,16,9,52,6,69,0,20,3,24,7,24,6,41,11,23,4,45,3,5,0,9,0,0,0,0,0,0,0,0,42,145,32,219
SSC70057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,10
SSC70058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,4,20
SSC70059,12,45,9,63,10,60,13,83,47,266,66,377,36,174,29,240,31,125,20,174,24,124,34,177,12,85,19,115,4,30,6,43,0,7,0,10,171,920,191,1277,8,52,10,69,9,73,13,104,64,269,66,393,42,145,20,208,37,126,31,191,34,109,24,160,28,48,13,91,14,34,14,58,0,14,0,17,225,877,183,1285,21,98,17,132,22,136,30,187,105,531,128,766,76,322,52,443,66,247,47,367,55,230,54,334,38,135,26,206,12,68,23,105,0,21,3,28,399,1794,378,2565
SSC70060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4
SSC70061,7,5,0,11,0,12,0,11,4,10,0,15,10,14,3,26,7,21,7,38,8,19,4,31,8,10,9,21,0,11,0,11,0,0,0,0,40,105,23,165,0,8,0,10,0,9,3,8,3,14,4,20,13,7,0,26,11,25,3,35,11,12,6,29,8,8,0,17,0,3,0,9,0,0,0,5,48,89,28,155,4,18,0,26,0,12,5,21,9,31,4,41,21,25,5,53,20,38,9,71,18,27,10,59,11,22,7,42,0,16,3,16,0,3,0,3,85,188,55,324
SSC70062,0,6,0,7,3,37,3,46,0,52,14,62,4,17,4,28,3,15,5,21,0,21,8,30,0,12,3,20,0,3,0,5,0,0,0,0,16,158,44,221,0,18,11,27,8,27,5,43,13,48,7,63,4,13,5,29,4,20,3,28,3,19,3,25,0,9,0,18,0,4,0,4,0,0,0,0,34,157,40,232,0,22,9,30,13,62,11,88,13,95,19,125,12,36,12,57,6,35,7,51,7,38,12,53,0,28,8,36,0,3,0,9,0,0,0,0,47,314,89,455
SSC70063,0,3,0,3,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,10,0,3,0,3,0,0,0,0,0,3,0,3,0,3,0,3,0,3,0,3,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,18,5,22
SSC70064,0,0,0,0,0,0,0,0,0,13,6,17,0,6,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,19,6,32,0,0,0,0,0,4,0,7,0,8,3,13,3,0,0,3,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,16,3,25,0,0,0,0,0,3,0,4,3,21,5,30,3,6,0,9,6,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,32,5,58
SSC70065,3,16,10,24,3,18,5,28,11,45,12,60,16,39,16,71,30,52,16,92,12,63,24,97,12,41,10,60,0,15,3,21,0,3,0,3,83,287,84,454,9,23,13,36,3,16,7,24,19,41,9,64,28,40,14,88,30,51,17,100,22,40,16,76,15,21,10,44,4,16,0,18,0,0,0,0,133,247,80,458,7,39,15,68,8,32,9,47,24,85,17,125,45,84,27,156,57,99,35,195,40,107,31,179,23,61,21,101,4,27,3,35,0,6,0,7,212,534,168,908
SSC70066,0,0,3,4,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,4,6,0,3,0,3,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,12
SSC70067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,3,0,4,0,5,0,0,0,0,0,0,0,0,0,8,4,15,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,3,0,0,0,3,0,7,0,3,0,0,0,0,0,0,0,0,0,13,4,15
SSC70068,0,8,0,4,0,8,0,12,0,3,0,3,0,0,0,4,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,23,3,28,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,0,13,0,8,0,5,3,10,0,12,0,6,0,12,0,0,0,4,0,3,0,6,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,5,27,3,37
SSC70069,4,6,0,11,0,5,0,5,0,19,0,20,6,8,0,13,0,6,3,10,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,9,54,4,68,0,9,0,11,0,6,0,9,0,14,0,23,3,9,0,9,4,7,4,14,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,10,47,8,69,3,17,0,16,0,14,0,13,3,35,8,39,10,12,3,24,6,19,4,31,0,6,0,6,0,0,0,3,0,0,0,0,0,0,0,0,16,106,17,141
SSC70070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70071,0,0,0,0,0,0,0,0,0,9,0,11,0,6,3,7,0,10,3,13,0,3,0,8,3,4,0,9,3,3,0,8,0,0,0,0,4,31,6,46,0,0,0,3,0,0,0,4,0,3,4,7,3,3,0,4,0,3,0,9,0,5,0,5,3,0,0,7,0,0,0,0,0,0,0,0,7,29,10,46,0,0,0,3,0,3,0,3,3,9,4,20,0,9,7,15,0,14,5,22,0,15,0,15,6,7,0,16,3,6,0,7,0,0,0,0,13,61,18,97
SSC70072,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9
SSC70073,10,34,7,50,32,225,65,329,134,904,243,1280,90,414,97,599,53,354,86,497,66,273,73,411,28,100,25,151,3,17,9,27,0,9,0,10,420,2332,600,3352,10,53,16,73,29,238,67,332,114,767,173,1057,77,267,68,407,60,207,51,327,49,149,38,240,30,56,23,108,6,16,3,30,0,6,5,8,382,1760,436,2580,18,83,22,121,64,464,134,656,249,1673,414,2334,159,684,164,1007,121,563,141,827,115,424,112,647,61,156,46,263,9,35,8,57,0,14,5,19,800,4092,1039,5929
SSC70074,0,12,3,23,0,6,4,13,4,29,8,41,14,38,5,55,6,56,15,79,8,41,5,56,3,20,4,30,0,4,0,10,0,0,0,0,33,216,51,300,6,9,3,22,0,9,4,12,11,30,7,41,15,26,9,48,8,36,6,53,0,28,0,30,6,19,3,24,0,0,0,0,0,0,0,0,43,160,35,234,7,23,7,43,0,20,4,26,9,59,13,83,29,68,12,108,16,92,20,126,10,67,11,87,12,41,8,55,0,4,3,8,0,0,0,0,82,379,79,537
SSC70075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5
SSC70076,0,8,3,10,0,8,0,12,4,19,0,23,0,10,0,14,0,8,3,11,0,5,0,5,4,6,0,6,0,3,0,3,0,0,0,0,10,60,11,86,0,0,0,0,0,4,0,11,5,16,3,19,0,10,0,10,0,7,0,9,0,6,0,4,0,4,0,4,0,0,0,0,0,0,0,0,10,46,3,59,0,6,3,9,0,14,0,20,11,30,3,37,3,24,0,30,0,16,3,21,0,12,0,13,4,11,0,12,0,3,0,3,0,0,0,0,21,109,15,145
SSC70077,0,0,0,0,0,0,0,3,0,4,0,7,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,6,7,3,20,0,0,0,0,0,0,3,4,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,3,12,3,16,0,0,0,0,0,3,4,10,3,5,0,11,3,3,0,8,0,0,0,3,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,5,20,8,36
SSC70078,19,27,9,54,6,28,3,35,19,60,16,94,20,63,12,96,33,84,19,140,43,69,9,124,13,26,6,53,3,15,0,21,0,5,0,4,163,381,74,615,10,21,7,31,3,23,8,29,28,87,12,128,36,67,12,114,38,87,20,143,36,43,8,92,12,23,5,40,3,15,0,17,3,4,3,7,165,365,69,600,31,49,11,85,8,51,9,65,50,144,29,222,55,131,24,207,73,176,37,282,72,118,18,211,26,48,10,86,11,29,3,36,3,7,3,10,321,748,143,1212
SSC70079,0,3,3,4,3,3,3,11,9,30,17,54,9,7,7,23,7,15,8,25,0,12,0,15,0,3,0,10,0,0,0,0,0,0,0,0,19,75,43,142,0,0,0,0,0,4,3,6,10,0,4,15,5,0,4,13,0,3,0,5,3,10,7,14,0,3,0,9,0,0,0,0,0,0,0,0,15,23,18,62,0,3,3,4,3,9,5,17,16,31,21,66,8,13,13,32,8,16,13,32,3,20,7,33,0,12,3,11,0,0,0,0,0,0,0,0,37,100,65,204
SSC70080,9,77,12,108,15,85,22,126,23,190,31,244,32,158,32,218,31,163,23,219,27,105,22,146,12,34,5,48,0,12,0,15,0,0,0,0,158,822,146,1128,19,76,19,108,21,67,15,108,44,182,36,260,44,156,18,222,40,123,24,187,21,86,17,122,10,35,3,47,4,11,3,20,0,0,0,0,205,734,132,1074,30,153,34,216,35,152,41,232,68,372,67,505,75,316,51,438,76,291,46,403,46,191,39,274,24,65,5,92,4,26,4,36,0,0,0,0,364,1557,282,2206
SSC70081,0,0,3,3,0,0,0,0,0,4,0,7,0,9,0,8,0,10,0,17,7,23,0,26,7,16,8,34,0,3,0,3,0,0,0,0,20,72,11,103,0,3,0,3,0,3,0,6,0,9,0,6,5,10,0,14,3,11,0,16,9,13,0,20,3,12,3,21,0,0,0,3,0,0,0,0,16,60,10,85,0,3,3,4,0,3,0,7,0,11,0,14,3,17,0,23,3,22,0,31,11,40,3,50,15,32,11,52,0,4,0,7,0,0,0,0,35,134,19,185
SSC70082,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,11,4,18,0,12,3,17,4,10,0,14,0,3,0,3,0,0,0,0,7,41,5,57,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,4,0,3,0,3,0,8,0,9,0,0,0,4,0,0,0,0,0,0,0,0,6,18,3,25,0,0,0,0,0,0,0,3,0,0,0,3,3,3,0,5,3,11,4,17,3,23,6,26,6,15,0,20,0,3,0,3,0,0,0,0,9,56,13,84
SSC70083,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,7,3,5,3,10,3,8,3,18,0,5,3,8,0,0,0,0,0,0,0,0,6,25,8,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,7,0,4,0,4,0,4,4,7,0,0,0,0,0,0,0,0,3,11,4,17,0,0,0,0,0,0,0,0,0,3,0,3,3,8,0,11,8,4,3,16,3,17,3,20,3,11,7,14,0,0,0,0,0,0,0,0,16,36,13,64
SSC70084,14,74,7,90,24,100,12,133,45,331,34,414,59,208,16,284,39,153,17,213,23,107,11,140,11,31,3,50,4,3,0,10,0,3,0,3,214,1020,106,1336,11,73,7,89,25,85,11,117,69,307,39,413,67,191,12,272,50,155,9,218,29,90,12,133,18,32,11,55,0,13,3,16,0,0,0,0,264,950,105,1313,19,145,11,182,41,190,26,256,112,641,69,826,126,403,35,561,88,308,24,429,55,201,20,272,27,64,12,103,3,15,7,27,0,8,0,4,477,1968,207,2652
SSC70085,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,3,11
SSC70086,3,43,45,92,4,37,4,47,14,47,3,58,4,57,0,63,6,36,0,44,10,21,0,30,0,11,0,17,0,7,0,10,0,0,0,0,53,255,57,364,9,44,0,55,3,36,5,48,15,53,9,67,12,64,4,74,7,25,0,30,11,22,0,34,0,11,0,14,0,3,0,3,0,0,0,0,50,260,18,332,10,86,47,142,12,68,10,92,24,94,9,126,17,116,4,139,15,66,0,82,17,47,3,67,4,23,0,23,3,11,0,12,0,0,0,0,100,513,79,690
SSC70087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,11,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,11
SSC70088,24,65,3,88,13,51,6,73,46,149,34,225,61,111,18,194,57,113,19,190,64,98,23,184,37,56,12,97,8,16,0,23,0,5,0,6,307,662,110,1082,20,42,4,72,8,51,3,63,83,182,47,307,81,134,20,241,96,116,18,235,71,141,26,234,34,60,20,103,3,23,0,28,3,4,3,7,405,751,141,1296,45,101,13,155,26,106,14,135,130,329,80,538,146,248,41,432,159,235,35,429,131,238,46,415,66,114,23,202,13,35,3,51,3,11,4,17,711,1409,251,2379
SSC70089,0,3,0,4,3,15,3,17,16,55,3,70,3,18,0,22,3,10,3,17,0,6,0,9,0,3,0,3,0,0,0,0,0,0,0,0,25,107,13,146,3,3,0,4,3,9,0,13,0,18,0,18,3,9,0,13,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,48,0,55,4,10,0,9,5,20,3,33,16,72,3,82,6,28,0,37,3,20,3,24,0,5,0,9,0,3,0,3,0,0,0,0,0,0,0,0,30,156,10,197
